Recency,Frequency,MonetaryValue,Length
25,1,6180000,1880
49,1,396000,1905
36,1,6360000,1891
20,1,11990000,1876
45,1,780000,1900
26,2,21990000,1887
27,1,1226500,1883
4,10,10058547,1938
26,1,1232000,1882
24,1,7440000,1879
46,1,10340000,1901
69,1,1254000,1924
41,1,4225000,1896
36,1,1210000,1891
62,5,5310500,1939
22,1,12760000,1877
45,1,10340000,1900
25,1,2560000,1880
20,1,11000000,1875
13,3,2404000,1907
26,1,10285000,1881
39,1,11605000,1894
20,1,11099000,1875
43,1,5940000,1899
20,1,10560000,1875
12,6,4149900,1936
47,1,6120000,1902
23,1,11099000,1878
24,2,22888800,1902
23,2,870000,1879
73,1,658000,1928
25,1,1210000,1880
18,1,10560000,1873
25,1,10560000,1880
68,6,3876000,1931
73,2,2035000,1937
26,3,2285000,1933
18,1,6240000,1873
20,1,6120000,1875
24,2,22990000,1903
66,1,770000,1922
27,1,1320000,1882
85,1,1133000,1941
51,2,1872000,1919
25,1,11605000,1880
51,1,1140000,1907
30,8,5750400,1940
38,1,4810000,1893
36,1,6108000,1891
36,1,10010000,1891
59,2,1250000,1915
68,1,853600,1924
24,2,22990000,1902
36,1,10835000,1891
43,1,596700,1898
37,1,3225000,1892
2,2,17765000,1934
23,1,2560000,1878
25,1,11605000,1880
31,1,5640000,1886
19,1,11099000,1874
24,1,11099000,1879
59,1,1560000,1914
83,1,1441000,1938
30,1,10230000,1885
28,1,11605000,1883
85,2,900900,1940
79,1,585000,1934
24,2,22990000,1902
64,4,2689150,1934
27,1,11440000,1882
51,8,8309000,1941
41,2,13915000,1903
31,1,10406000,1886
88,1,1232000,1943
76,1,1237500,1931
47,7,3660000,1903
17,4,2924000,1903
29,1,10659000,1884
26,1,3075000,1881
25,1,3000000,1880
23,1,6072000,1878
18,1,10560000,1873
79,1,4440000,1934
88,1,726000,1944
44,1,1199000,1899
59,3,2200000,1915
64,1,576000,1919
31,1,2560000,1886
25,1,4030000,1880
23,1,4615000,1878
45,1,6120000,1900
21,13,149182000,1922
23,1,726000,1879
74,1,62810000,1929
53,1,1826000,1908
31,1,6120000,1886
2,1,2365000,1857
20,1,11110000,1875
25,1,6120000,1880
38,1,5520000,1893
20,1,2560000,1875
29,1,10560000,1884
24,1,1221000,1880
19,1,11660000,1874
19,1,4680000,1874
77,1,770000,1932
23,1,10010000,1878
22,3,2378000,1915
41,1,10615000,1896
26,1,12969000,1881
26,1,10450000,1881
32,1,4030000,1887
25,1,11055000,1880
34,1,14795000,1889
74,1,540000,1929
26,1,1221000,1881
24,2,22888800,1900
24,1,2560000,1879
29,1,5820000,1884
18,1,12210000,1873
40,1,11550000,1895
21,7,80579400,1920
22,1,6120000,1877
81,1,555100,1936
50,1,1375000,1906
46,1,4030000,1901
24,1,732000,1880
77,19,5985000,1934
59,1,1320000,1914
18,1,6240000,1873
22,1,870000,1878
69,1,1210000,1924
18,1,10010000,1873
49,1,1034000,1905
22,1,1210000,1878
22,1,1408000,1878
44,1,840000,1899
19,1,10010000,1874
88,1,1210000,1944
26,5,3879300,1920
31,1,6120000,1886
70,1,1232000,1925
23,1,11770000,1878
19,1,6120000,1874
26,1,2560000,1881
20,1,4030000,1875
27,1,10615000,1882
31,1,3150000,1886
76,1,915200,1931
23,1,11000000,1878
27,2,2200000,1922
22,1,3780000,1877
83,1,990000,1938
23,1,11110000,1878
88,2,1232000,1943
29,1,10406000,1884
31,1,4680000,1886
21,6,69546400,1910
24,1,11099000,1879
88,1,726000,1943
23,1,5700000,1878
